Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,270729,9/1/2018,Postdoctoral Fellow: Machine Learning for Large-Scale Cancer Genomics Data,1 month 2 weeks,Expired,1,"Biological sciences, Computer science › Informatics, Computer science › Programming, Mathematics › Statistics, Medical sciences",Temporary,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,239773,16/08/2017,Postdoctoral Fellow: Algorithms for Long Read Transcript Quantification,1 month 2 weeks,Expired,1,"Biological sciences › Other, Computer science › Programming, Mathematics › Statistics",Temporary,,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,218084,17/05/2017,Postdoctoral Fellow: Computational/Statistical Genomics,1 month 1 day,Expired,1,"Biological sciences › Other, Computer science › Other, Mathematics › Statistics",Temporary,EX-G171705,Not funded by an EU programme
Genome Institute of Singapore,Computational and Systems Biology,,Higher Education Institute,169673,6/1/2017,Postdoc: Machine Learning for Large-Scale Genomics Data,1 month 1 week,Expired,1,"Biological sciences, Computer science, Mathematics › Statistics",Temporary,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Neuroscience,Ch'ng Toh Hean,Research Laboratory,325163,17/07/2018,Postdoctoral Fellow,4 months 2 weeks,Expired,1,"Biological sciences, Neurosciences › Other",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,596858,21/01/2021,"Assistant Professor and Director, Centre for Biomedical Informatics",4 weeks 1 day,Expired,1,Medical sciences › Medicine,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,590464,23/12/2020,Assistant Professor of Health Informatics,4 weeks 1 day,Expired,1,"Communication sciences › Public relations, Medical sciences › Medicine",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,588365,17/12/2020,Research Assistant,1 month 1 day,Expired,1,Neurosciences,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,573367,2/11/2020,"Senior Lecturer/ Lecturer, Medical Education",4 weeks 1 day,Expired,1,Medical sciences › Other,Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,548400,4/8/2020,Research Fellow (Vascular and Stem Cell Medicine),1 month 22 hours,Expired,1,Biological sciences › Biological engineering,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,535943,25/06/2020,Senior/Research Fellow,2 months 1 week,Expired,1,"Anthropology › Social anthropology, Psychological sciences › Psychology",To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,535937,25/06/2020,Postdoctoral Fellow in Neuroscience,2 weeks 6 days,Expired,1,"Biological sciences › Biology, Neurosciences › Neurobiology",Temporary,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,517338,24/04/2020,"Lecturer, Medical Education",4 weeks 1 day,Expired,1,"Medical sciences › Medicine, Other",Permanent,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,451818,4/10/2019,"Senior Lecturer, Physiology/Medical Education",1 month 5 hours,Expired,2,Medical sciences › Medicine,Permanent,,Not funded by an EU programme
