Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,451971,5/10/2019,Senior Scientist (Diploma/Master),2 weeks 6 days,Expired,2,Architecture,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,451972,5/10/2019,University Assistant (postdoc),2 weeks 6 days,Expired,2,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,451566,4/10/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,451567,4/10/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Agricultural sciences › Other,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,451206,3/10/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,450604,2/10/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,450324,1/10/2019,Senior Scientist (Diploma/Master),2 weeks 6 days,Expired,1,Juridical sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,449871,28/09/2019,University Assistant (PhD position),1 month 1 week,Expired,1,Educational sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,449568,27/09/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,"Cultural studies, Language sciences",Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,449569,27/09/2019,University Assistant (postdoc),3 weeks 6 days,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,449131,26/09/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Juridical sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,448802,25/09/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,447932,21/09/2019,Senior Lecturer (Doctorate/PhD),2 weeks 6 days,Expired,1,Educational sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,447135,19/09/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Educational sciences › Education,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,446621,18/09/2019,University Assistant (PhD position),1 month 1 week,Expired,1,Educational sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,446322,17/09/2019,Senior Scientist (Doctorate/PhD),2 weeks 6 days,Expired,2,History › Ancient history,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,445794,14/09/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,445538,13/09/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Pharmacological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,445539,13/09/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Chemistry,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,445540,13/09/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Psychological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,444267,9/9/2019,Senior Lecturer (Doctorate/PhD),2 weeks 6 days,Expired,1,Educational sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,443853,7/9/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Technology › Electrical technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,443584,6/9/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Biological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,443585,6/9/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Juridical sciences › Labour law,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,443586,6/9/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Biological sciences › Biology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,442861,5/9/2019,University Assistant (PhD position),1 month 1 week,Expired,1,Computer science,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,442543,4/9/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Educational sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,442544,4/9/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,441796,31/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Chemistry,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,441797,31/08/2019,University Assistant (PhD position),1 month 1 week,Expired,1,History › Art history,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,441564,30/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,441565,30/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,441566,30/08/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Psychological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,441165,29/08/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Educational sciences › Education,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,440651,27/08/2019,University Assistant (postdoc),1 month 2 weeks,Expired,1,Technology › Medical technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,439920,24/08/2019,Senior Lecturer (Doctorate/PhD),2 weeks 6 days,Expired,1,Pharmacological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,439921,24/08/2019,University Assistant (PhD position),1 month 4 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,439220,22/08/2019,Senior Lecturer (Diploma/Master),2 weeks 6 days,Expired,1,Pharmacological sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,439221,22/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Chemistry › Biochemistry,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,438923,21/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,438924,21/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Juridical sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,438925,21/08/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Economics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,438334,19/08/2019,University Assistant (postdoc),1 month 1 week,Expired,1,Computer science,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,437686,16/08/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,Language sciences,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,437405,15/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,437406,15/08/2019,University Assistant (PhD position),2 weeks 6 days,Expired,1,Technology,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,437407,15/08/2019,University Assistant (PhD position),1 month 1 week,Expired,1,Mathematics › Computational mathematics,Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,437159,14/08/2019,University Assistant (postdoc),2 weeks 6 days,Expired,1,"Architecture, Sociology › Sociology of labour",Temporary,,Not funded by an EU programme
University of Innsbruck,Office of the Vice Rector for Staff and Faculty,,Public Research Institution,437160,14/08/2019,University Assistant (postdoc),1 month 1 week,Expired,2,Educational sciences,Temporary,,Not funded by an EU programme
