Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Belgian Federal Science Policy Office,,,Public Research Institution,398832,11/4/2019,Scientific assistant / Curator - Glass restorer,1 year 10 months,Closed,1,"Arts › Handicrafts, Arts › Fine arts",Temporary,,Not funded by an EU programme
Belgian Federal Science Policy Office,,,Public Research Institution,329437,2/8/2018,Engineer scientific instrumentation (m/f/x),1 week 6 days,Expired,1,Engineering › Industrial engineering,Temporary,,Not funded by an EU programme
Belgian Federal Science Policy Office,,,Public Research Institution,329429,2/8/2018,Expert in marine engineering (m/f/x),1 week 6 days,Expired,1,Engineering › Maritime engineering,Temporary,,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,601596,4/2/2021,Scientist,2 weeks 1 day,Published,1,"Engineering, Environmental science, Ethics in natural sciences",Temporary,,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,594063,12/1/2021,Aspiring Scientist,1 month 1 week,Published,1,"Chemistry, Environmental science, Ethics in natural sciences, Ethics in physical sciences",Temporary,,H2020
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,594057,12/1/2021,Scientist,1 month 1 week,Published,1,"Agricultural sciences › Agricultural products, Engineering, Environmental science, Ethics in natural sciences",Temporary,,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,521068,7/5/2020,scientist,3 weeks 4 days,Expired,2,"Engineering, Mathematics, Physics",Temporary,,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,466908,26/11/2019,Postdoc,1 week 3 days,Expired,2,Physics › Chemical physics,Temporary,D43_Postdoc,H2020
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,381270,19/02/2019,Aspiring Ph.D. Candidate holding a Master Degree in Sciences or Applied Sciences (m/f),1 month 4 days,Expired,1,"Chemistry, Environmental science, Geosciences, Mathematics, Physics",Temporary,,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,282331,21/02/2018,Post-doctoral researcher (M/F),2 weeks 4 days,Expired,1,"Mathematics, Physics",Temporary,D21-CH4-IR,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,269827,3/1/2018,1 COMPUTER SCIENTIST (M/F),1 month 2 weeks,Expired,1,"Computer science, Engineering, Physics",Temporary,,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,242374,31/08/2017,Scientific administrator/operator,2 weeks 1 day,Expired,1,"Chemistry, Engineering, Mathematics, Physics",Temporary,D14_RUIMTEWEER,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,167585,23/12/2016,SCIENTIST,1 month 1 week,Expired,1,"Chemistry, Environmental science › Earth science, Physics",Temporary,D31_GBUVVIS,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,167577,23/12/2016,Scientist to work on aerosol remote sensing in the infrared from satellite instruments,3 weeks 2 days,Expired,1,Environmental science › Earth science,Temporary,D21-IASI2017,Not funded by an EU programme
Belgian Institute for Space Aeronomy,HR,,Public Research Institution,159629,30/11/2016,Beginner scientist to work on a PhD thesis,1 month 2 weeks,Expired,1,"Chemistry, Environmental science › Earth science, Mathematics, Physics",Temporary,D23-TROPO,Not funded by an EU programme
