Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Central European University,Center for Religious Studies,,Higher Education Institute,302853,2/5/2018,"Junior Visiting Researcher for a Global Drug Policy Program / School of Public Policy, Global Policy Academy",1 week 6 days,Expired,2,"Other, Political sciences › Policy studies, Political sciences › Public policy",Temporary,,Not funded by an EU programme
Central European University,Center for Religious Studies,,Higher Education Institute,266229,14/12/2017,Postdoctoral Research Cognitive Development Center,1 year 1 month,Expired,1,Psychological sciences › Cognitive science,Temporary,PreLog: Project ID: 639840,H2020 / ERC
Centre for Ecological Research,Balaton Limnological Institute,,Public Research Institution,534703,20/06/2020,Potential MSCA applicant,2 months 2 weeks,Expired,2,"Biological sciences, Environmental science › Water science",To be defined,,Not funded by an EU programme
"ComInnex, Inc.",,,"Small Medium Enterprise, Start-up",580227,24/11/2020,Photochemical transformations for library synthesis,2 months 13 hours,Expired,2,"Chemistry › Other, Chemistry › Homogeneous catalysis, Chemistry › Organic chemistry",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Corvinus University of Budapest,-,-,Higher Education Institute,270513,8/1/2018,"FATIGUE, Early Stage Researcher 14: The depoliticisation of civil society in Central and Eastern Europe",2 months 6 days,Expired,1,Economics › Social economics,Temporary,HR/Early14,H2020 / Marie Skłodowska-Curie Actions
Corvinus University of Budapest,-,-,Higher Education Institute,270508,8/1/2018,"FATIGUE, Early Stage Researcher 9: The impact of economic populism on inequality",2 months 6 days,Expired,1,Economics › Political economy,Temporary,HR/Early9,H2020 / Marie Skłodowska-Curie Actions
Corvinus University of Budapest,-,-,Higher Education Institute,270496,8/1/2018,"FATIGUE, Early Stage Researcher 8: The impact of economic populism on growth and convergence",2 months 6 days,Expired,1,Economics › Political economy,Temporary,HR/Early8,H2020 / Marie Skłodowska-Curie Actions
"ELTE (Eötvös Loránd University), Institute of Biology, Budapest",Department of Ethology,,Research Laboratory,292861,28/03/2018,Researcher in Behavioral & Veterinary Neurosciences,1 month 3 days,Expired,1,"Biological sciences, Neurosciences",To be defined,680040,H2020 / ERC
Eötvös Loránd University,,,Higher Education Institute,587781,16/12/2020,Early stage researcher (ESR) position in Inflanet EU-funded PhD programme at ELTE,2 months 1 day,Expired,1,"Biological sciences, Computer science, Physics",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Eötvös Loránd University,,,Higher Education Institute,404236,2/5/2019,POSTDOCTORAL FELLOW IN COMPUTER SCIENCE,4 weeks 1 day,Expired,1,Computer science,Permanent,,Not funded by an EU programme
Eötvös Loránd University,,,Higher Education Institute,404231,2/5/2019,"RESEARCH PROFESSOR IN COMPUTER SCIENCE (AUTONOMOUS DRIVING TECHNOLOGIES, ARTIFICAL INTELLIGENCE AND DEEP LEARNING)",4 weeks 1 day,Expired,1,Computer science,Temporary,,Not funded by an EU programme
Eötvös Loránd University,,,Higher Education Institute,404224,2/5/2019,ASSOCIATE PROFESSOR IN COMPUTER SCIENCE,4 weeks 1 day,Expired,1,Computer science,Permanent,,Not funded by an EU programme
H-CEMM Hungarian Centre of Excellence for Molecular Medicine,,,Research Laboratory,470023,5/12/2019,Director General / CEO,1 month 1 day,Expired,2,Medical sciences › Medicine,Temporary,739593,H2020
H-CEMM Hungarian Centre of Excellence for Molecular Medicine,,,Research Laboratory,390759,18/03/2019,Head of Advanced Core Facilities,4 weeks 5 hours,Expired,3,Medical sciences › Medicine,Temporary,739593,H2020
H-CEMM Hungarian Centre of Excellence for Molecular Medicine,,,Research Laboratory,390752,18/03/2019,Group Leader,1 month 1 week,Expired,6,Medical sciences › Medicine,Temporary,739593,H2020
Holografika,,,"Small Medium Enterprise, Start-up",365195,19/12/2018,Open ESR position in European Training Network EVOCATION for light field displays rendering techniques,4 months 4 weeks,Expired,2,Technology › Future technology,Temporary,,H2020 / Marie Skłodowska-Curie Actions
Holografika,,,"Small Medium Enterprise, Start-up",246000,15/09/2017,ESR Position in QoE-Net Innovative Training Network,2 months 1 week,Expired,1,Information science › Other,Permanent,QoE-Net 2017-2,H2020 / Marie Skłodowska-Curie Actions
Hungarian Academy of Sciences,Centre for Social Sciences,,Higher Education Institute,568648,16/10/2020,International Funding Officer,1 month 1 day,Expired,1,Ethics in social sciences › Other,Temporary,,Not funded by an EU programme
Hungarian Academy of Sciences Institute for Computer Science and Control,,,Higher Education Institute,355917,16/11/2018,EPIC CoE Industrial Coordinator in production informatics and control,1 month 3 days,Expired,1,Engineering › Computer engineering,Temporary,739592,H2020
Hungarian Academy of Sciences Institute for Computer Science and Control,,,Higher Education Institute,355900,16/11/2018,EPIC CoE Post-doc Researcher in the field of Cyber-Physical Production Systems,2 months 2 days,Expired,1,Computer science › Informatics,Temporary,739592,H2020
Hungarian Academy of Sciences Institute for Computer Science and Control,,,Higher Education Institute,355895,16/11/2018,EPIC CoE Research and Development Coordinator in production informatics and control,1 month 3 days,Expired,1,Engineering › Computer engineering,Temporary,No:739592,H2020
Research Centre for Natural Sciences Hungaryan Academy of Sciences,,,Public Research Institution,261746,24/11/2017,PhD position in the field of membrane active peptides at the Research Centre for Natural Sciences,3 weeks 11 hours,Expired,1,"Biological sciences › Biology, Chemistry › Biochemistry, Medical sciences, Physics",To be defined,,Not funded by an EU programme
Research Centre for Natural Sciences Hungaryan Academy of Sciences,,,Public Research Institution,190023,16/03/2017,PhD position in the field of membrane biophysics at the Research Centre for Natural Sciences,1 month 2 weeks,Expired,1,"Biological sciences › Biology, Chemistry › Other, Medical sciences › Other, Physics › Other",To be defined,,Not funded by an EU programme
Research Centre for Natural Sciences Hungaryan Academy of Sciences,,,Public Research Institution,190018,16/03/2017,Post-doc position in the field of membrane active biomolecules at the Research Centre for Natural Sciences,1 month 2 weeks,Expired,1,"Biological sciences › Biology, Chemistry › Other, Medical sciences › Other, Physics › Other",To be defined,,Not funded by an EU programme
Research Centre for Natural Sciences Hungaryan Academy of Sciences,,,Public Research Institution,190010,16/03/2017,Post-doc position in the field of membrane biophysics at the Research Centre for Natural Sciences,1 month 2 weeks,Expired,1,"Biological sciences › Biology, Chemistry › Other, Medical sciences › Other, Physics › Other",To be defined,,Not funded by an EU programme
Research Centre for Natural Sciences Hungaryan Academy of Sciences,,,Public Research Institution,189996,16/03/2017,Post-doc position in the field of membrane active biomolecules at the Research Centre for Natural Sciences,1 month 2 weeks,Expired,1,"Biological sciences › Biology, Chemistry › Biochemistry, Medical sciences › Other, Physics › Other",To be defined,,Not funded by an EU programme
Research Centre for Natural Sciences Hungaryan Academy of Sciences,,,Public Research Institution,183688,21/02/2017,Post-doc position in the field of computational chemistry and biophysics at the Research Centre for Natural Sciences,1 month 1 week,Expired,1,"Biological sciences › Biology, Chemistry › Biochemistry, Medical sciences › Other, Physics › Other",To be defined,,Not funded by an EU programme
Semmelweis University,Directorate of Innovation,,Higher Education Institute,480222,13/01/2020,PhD student position at the Semmelweis University,2 weeks 4 days,Expired,1,"Biological sciences › Biology, Computer science › Other",Temporary,,Not funded by an EU programme
Semmelweis University,Directorate of Innovation,,Higher Education Institute,362996,12/12/2018,Stipendium Hungaricum - Call for Applications 2019/2020,2 weeks 5 days,Expired,1,"Biological sciences › Biology, Medical sciences › Other",Temporary,SU-COMPBIO-02,Not funded by an EU programme
Semmelweis University,Directorate of Innovation,,Higher Education Institute,362987,12/12/2018,Position at the Károly Rácz School of PhD Studies,3 months 2 weeks,Expired,1,"Biological sciences › Biology, Medical sciences › Other",Temporary,SU-COMPBIO-01,Not funded by an EU programme
ThalesNano Inc.,,,"Small Medium Enterprise, Start-up",562030,25/09/2020,PhD Position - Organic Chemistry/Flow Chemistry,1 month 1 hour,Expired,1,"Chemistry › Organic chemistry, Chemistry › Heterogeneous catalysis, Chemistry › Homogeneous catalysis, Chemistry › Other",Temporary,,H2020 / Marie Skłodowska-Curie Actions
"Universität Würzburg, 97074 Würzburg, Germany",Institute of Organic Chemisrz,,International / Intergovernmental Organisation,436843,12/8/2019,PhD position in Functional Chiral Molecules (Physical Organic Chemistry),4 months 4 days,Expired,2,"Chemistry › Physical chemistry, Chemistry › Structural chemistry, Chemistry › Molecular chemistry, Chemistry › Organic chemistry",Temporary,,Not funded by an EU programme
"Universität Würzburg, 97074 Würzburg, Germany",Institute of Organic Chemisrz,,International / Intergovernmental Organisation,332053,13/08/2018,PhD positions in Functional Chiral Molecules (Physical Organic Chemistry),2 months 2 weeks,Expired,3,"Chemistry › Molecular chemistry, Chemistry › Physical chemistry, Chemistry › Organic chemistry",Temporary,,Not funded by an EU programme
"University of Debrecen, Department of Biochemistry and Molecular Biology",Department of Biochemistry and Molecular Biology,,Higher Education Institute,182036,16/02/2017,Marie Curie Early Career Researcher,1 week 4 days,Expired,1,Biological sciences › Biology,Temporary,,FP7 / People-Marie Curie Actions
University of Pannonia,Faculty of Business and Economics,,Higher Education Institute,420840,25/06/2019,Short-term researcher,1 month 9 hours,Expired,9,Other,Temporary,418542-602791,Not funded by an EU programme
University of Pécs,,,Higher Education Institute,504882,16/03/2020,PhD Scholarship at University of Pécs (Hungary): Marie-Sklodowska-Curie ITN on ‘Policies for Smart Specialisation’ (POLISS),4 weeks 1 day,Expired,2,Economics,Temporary,,H2020 / Marie Skłodowska-Curie Actions
University of Szeged,Department of Physical Chemistry and Materials Science,Photoelectrochemistry Research Group,Higher Education Institute,472318,12/12/2019,Postdoctoral scholar,1 month 2 weeks,Expired,2,"Chemistry › Physical chemistry, Chemistry › Heterogeneous catalysis, Engineering › Chemical engineering",Temporary,,H2020
University of Szeged,Department of Physical Chemistry and Materials Science,Photoelectrochemistry Research Group,Higher Education Institute,160808,6/12/2016,Postdoctoral researcher position in continuous-flow electrochemistry,1 month 1 week,Expired,1,"Engineering › Chemical engineering, Engineering › Mechanical engineering",Temporary,,H2020 / ERC
University of Szeged,Department of Physical Chemistry and Materials Science,Photoelectrochemistry Research Group,Higher Education Institute,160800,6/12/2016,Postdoctoral researcher position in photoelectrochemistry,1 month 1 week,Expired,1,"Chemistry › Other, Chemistry › Heterogeneous catalysis, Chemistry › Instrumental techniques",Temporary,,H2020 / ERC
"University of Szeged, Faculty of Science and Informatics",Institute of Chemistry,Materials and Solution Structure Research Group,Research Laboratory,342745,2/10/2018,Postdoctoral fellow,1 month 4 weeks,Expired,2,"Chemistry › Physical chemistry, Chemistry › Instrumental analysis, Chemistry › Inorganic chemistry",Temporary,,Not funded by an EU programme
"Wigner Research Center for Physics (short name: Wigner RCP, in Hungarian: Wigner Fizikai Kutatokozpont)",,,Public Research Institution,597194,21/01/2021,"2 postdoc positions at Wigner RC Physics, Budapest, Hungary",3 weeks 4 days,Expired,2,Physics › Optics,To be defined,NAPLIFE 2021,Not funded by an EU programme
"Wigner Research Center for Physics (short name: Wigner RCP, in Hungarian: Wigner Fizikai Kutatokozpont)",,,Public Research Institution,596766,20/01/2021,Postdoctoral position in theoretical quantum optics,1 month 15 hours,Published,1,Physics › Quantum mechanics,Temporary,H2020-FETOPEN-2018-2020,H2020
"Wigner Research Centre for Physics, Hungarian Academy of Sciences",Institute for Solid State Physics and Optics,,Public Research Institution,425922,10/7/2019,PhD in Physics,1 month 1 day,Expired,1,Physics,Temporary,,H2020 / Marie Skłodowska-Curie Actions
"Wigner Research Centre for Physics, Hungarian Academy of Sciences",Institute for Solid State Physics and Optics,,Public Research Institution,282091,20/02/2018,PhD in Physics,1 month 3 weeks,Expired,2,"Physics › Optics, Physics › Solid state physics",Temporary,,Not funded by an EU programme
"Wigner Research Centre for Physics, Hungarian Academy of Sciences",Institute for Solid State Physics and Optics,,Public Research Institution,243910,7/9/2017,researcher,2 months 3 weeks,Expired,1,Physics › Solid state physics,Temporary,,Not funded by an EU programme
