Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
"Institute of Solid State Physics, University of Latvia (ISSP UL)",,Laboratory of Prototyping of Electronic and Photonic Devices,Research Laboratory,602195,5/2/2021,PhD student,2 weeks 17 hours,Published,1,"Engineering › Biomedical engineering, Engineering › Microengineering, Physics › Biophysics, Technology › Biotechnology",Temporary,,Not funded by an EU programme
Jāzeps Vītols Latvian Academy of Music,,,Higher Education Institute,594839,14/01/2021,"Lecturer for the study courses ""Multivariate statistics""",1 month 1 day,Expired,1,Other,Temporary,,Not funded by an EU programme
Jāzeps Vītols Latvian Academy of Music,,,Higher Education Institute,467546,29/11/2019,Foreign Academic Staff,2 weeks 12 hours,Expired,2,Educational sciences › Education,Temporary,,Not funded by an EU programme
Jāzeps Vītols Latvian Academy of Music,,,Higher Education Institute,467139,27/11/2019,"Lecturer for the study courses ""Higher education management"", “Legal framework of educational institutions” and “Education policy”",1 week 4 days,Expired,2,Educational sciences › Education,Temporary,,Not funded by an EU programme
Jāzeps Vītols Latvian Academy of Music,,,Higher Education Institute,369264,10/1/2019,"the study course lecturer ""Teacher's Health Psychohygiene""",1 month 1 week,Expired,1,Psychological sciences › Psychology,Temporary,,Not funded by an EU programme
Jāzeps Vītols Latvian Academy of Music,,,Higher Education Institute,362311,10/12/2018,"Lecturer for the study course ""Teacher's Health Psychohygiene""",6 days 5 hours,Expired,1,"Psychological sciences › Psychology, Sociology › Other",Temporary,No. 8.2.2.0/18/I/001,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,605885,16/02/2021,"Open competition for the selection of doctoral students within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization",4 days 19 min,Published,1,Engineering,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,601544,4/2/2021,"Open Competition for the International Academic Staff Vacancies within the framework of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",2 weeks 2 days,Published,1,Information science,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,576752,12/11/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 4 days,Expired,1,Architecture,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,573401,2/11/2020,Open competition for the selection of doctoral students and candidates within the framework of Project Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 6 hours,Expired,1,Economics,Other,,Not funded by an EU programme
