Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Tallinn University,,,Higher Education Institute,174681,26/01/2017,Postdoctoral Researcher in Audiovisual Industry and Policy,3 weeks 4 days,Expired,1,"Communication sciences › Media studies, Economics › Management studies, Economics › Political economy",Temporary,,Not funded by an EU programme
Tallinn University,,,Higher Education Institute,174677,26/01/2017,Postdoctoral Researcher in Audiovisual Augmented Reality,3 weeks 4 days,Expired,1,"Arts › Visual arts, Communication sciences › Audiovisual communication",Temporary,,Not funded by an EU programme
Tallinn University,Centre of Excellence in Educational Innovation,,Higher Education Institute,301996,27/04/2018,4 PhD positions in Educational Sciences,3 weeks 5 days,Expired,5,Educational sciences,Temporary,,Not funded by an EU programme
Tallinn University,Personnel Department,,Other,435747,8/8/2019,Doctoral student,2 months 3 weeks,Expired,3,"Arts › Visual arts, Computer science › 3 D modelling, Computer science › Programming, Neurosciences › Neurophysiology, Psychological sciences › Cognitive science",Temporary,MOBTT90_1,Not funded by an EU programme
Tallinn University of Techmology,Computer Systems Department,Center for Depandability,Higher Education Institute,513829,14/04/2020,Hardware systems verification,1 month 6 hours,Expired,1,Computer science › Computer hardware,Temporary,,H2020
Tallinn University of Technology,,,Higher Education Institute,564630,5/10/2020,Two Early Stage Researcher positions (PhD students) on informal and shadow economies,1 month 2 weeks,Expired,2,"Economics › Economics of development, Geography › Economic geography, Sociology › Socio-economic research",Temporary,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Department of Chemistry and Biotechnology,,Higher Education Institute,583440,3/12/2020,PhD position in DNA replication,1 week 6 days,Expired,1,Biological sciences,Not Applicable,,Not funded by an EU programme
Tallinn University of Technology,Department of Computer Systems,Re:creation Virtual and Augmented Reality Laboratory,Higher Education Institute,248269,26/09/2017,Postdoctoral Researcher,3 months 1 week,Expired,1,"Computer science, Engineering, Psychological sciences",Temporary,RECR-PD-2017-09,Not funded by an EU programme
Tallinn University of Technology,Department of Electrical Power Engineering and Mechatronics,Power Electronics Group,Higher Education Institute,593154,8/1/2021,PostDoc in Protection and Control of DC Microgrids,1 month 1 week,Published,1,"Engineering › Control engineering, Engineering › Electronic engineering, Engineering › Electrical engineering",Temporary,,Not funded by an EU programme
Tallinn University of Technology,Department of Electrical Power Engineering and Mechatronics,Power Electronics Group,Higher Education Institute,579754,22/11/2020,PhD position in Demand side flexibility,2 weeks 3 days,Expired,1,Engineering › Electrical engineering,Not Applicable,,H2020
Tallinn University of Technology,Department of Electrical Power Engineering and Mechatronics,Power Electronics Group,Higher Education Institute,578492,18/11/2020,Two Ph.D. Positions in Applied Power Electronics in Tallinn University of Technology,4 weeks 8 hours,Expired,2,Engineering › Electrical engineering,Not Applicable,,Not funded by an EU programme
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212778,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Test and Reliability of FinFET memories,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212777,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Adaptive methods for fault tolerant embedded systems,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212775,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: HW/SW fault tolerance methods driven by reliability and timing constraints,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212774,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: New Techniques for on-line fault detection,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212772,27/04/2017,"Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Reliable operation infrastructure for dynamic, high-dependability applications",1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212770,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Effective techniques for secure and reliable systems validation,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212769,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Innovative real-time operating system for error management for single- and multi-core units,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212722,27/04/2017,"Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: A synthetic, hierarchical abstraction approach for modelling and managing complex systems quality and reliability",1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212719,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Functional and extra-functional verification and debug methods for complex nanoelectronic systems,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212718,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: A novel Physical Unclonable Functions technology,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212716,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Design approaches for tamper resistant crypto implementations,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,FP7 / People-Marie Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212715,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Side-channel and Fault Attack resistant security primitives design,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212714,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: EDA tools and methodologies for reliable nanoelectronic systems,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212709,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: EDA tools and methodologies for high quality nanoelectronic systems,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,Dept. of Computer Engineering,,Higher Education Institute,212706,27/04/2017,Early Stage Researcher position available for MSCA ITN (ETN) RESCUE: Open-source EDA tools for design quality and reliability automation using zamiaCAD,1 month 2 weeks,Expired,1,Computer science › Computer systems,Other,,H2020 / Marie Skłodowska-Curie Actions
Tallinn University of Technology,IT School,Information Systems Group,Higher Education Institute,502204,7/3/2020,Fully funded PhD position in Hardware Systems Reliability and Assertion-based Verification,1 month 1 day,Expired,1,Computer science › Computer hardware,Other,,H2020
Tallinn University of Technology,IT School,Information Systems Group,Higher Education Institute,403379,29/04/2019,PhD Position (Data Science),1 month 2 days,Expired,6,Computer science › Informatics,To be defined,,Not funded by an EU programme
Tallinn University of Technology,Personnel Department,,Higher Education Institute,606780,18/02/2021,Postdoctoral Researcher of Accounting,2 days 1 hour,Published,1,Economics › Business economics,Temporary,,Not funded by an EU programme
Tallinn University of Technology,Personnel Department,,Higher Education Institute,594957,14/01/2021,Postdoctoral position in Cosmolocalism,1 month 6 days,Closed,1,Sociology,Temporary,,H2020
Tallinn University of Technology,Personnel Department,,Higher Education Institute,593715,11/1/2021,Postdoctoral position in governance of value,1 month 1 week,Closed,1,"Mathematics › Applied mathematics, Sociology",Temporary,,H2020
Tallinn University of Technology,Personnel Department,,Higher Education Institute,582237,30/11/2020,"ERA Chair holder, Professor of Cybersecurity in Maritime Domain",2 months 2 days,Expired,1,Computer science › Informatics,Temporary,,H2020
Tallinn University of Technology,Personnel Department,,Higher Education Institute,577859,16/11/2020,PhD Position in Public Administration,1 month 7 hours,Expired,1,"Economics, Educational sciences, Political sciences, Technology",Temporary,,Not funded by an EU programme
Tallinn University of Technology,Personnel Department,,Higher Education Institute,577850,16/11/2020,PhD Position in Public Administration,1 month 7 hours,Expired,1,"Engineering, Political sciences, Technology",Temporary,,Not funded by an EU programme
Tallinn University of Technology,Personnel Department,,Higher Education Institute,577806,16/11/2020,PhD Position in Mechanical Engineering,1 month 10 hours,Expired,1,"Engineering › Materials engineering, Engineering › Mechanical engineering",Temporary,,Not funded by an EU programme
Tallinn University of Technology,Personnel Department,,Higher Education Institute,577798,16/11/2020,PhD Position in Chemical and Materials Technology,1 month 10 hours,Expired,1,"Chemistry, Technology › Materials technology, Technology › Chemical technology",Temporary,,Not funded by an EU programme
Tallinn University of Technology,Personnel Department,,Higher Education Institute,577787,16/11/2020,PhD Position in Chemical and Materials Technology,1 month 11 hours,Expired,1,"Chemistry › Organic chemistry, Chemistry › Biochemistry, Technology › Chemical technology, Technology › Materials technology",Temporary,,Not funded by an EU programme
